TPUPS,HP_Code
05,HP.1.1
07,HP.1.3
78,HP.2.9
75,HP.3 tele
22,HP.3.1+3.2+3.3
70,HP.3.4.2
71,HP.3.4.9.1
61,HP.3.4.9.1
02,HP.3.4.9.1
74,HP.3.4.9.1
01,HP.3.4.9.1
72,HP.3.4.9.1
45,HP.3.4.9.1
76,HP.3.4.9.2
73,HP.3.4.9.2
09,HP.3.4.9.2
21,HP.3.4.9.2
20,HP.3.4.9.2
12,HP.3.4.9.2
36,HP.3.4.9.3
62,HP.3.4.9.3
04,HP.3.4.9.3
15,HP.3.4.9.3
77,HP.3.5
42,HP.4.1
32,HP.4.1
40,HP.4.1
69,HP.4.2
80,HP.4.2
39,HP.4.2
43,HP.5.1
79,HP.5.2
67,HP.6
83,HP.6
50,HP.6
82,HP.7
64,HP.7
81,HP.7
60,HP.7
68,HP.7
63,HP.7
66,HP.7
65,HP.6
84,HP.7
85,HP.6